Element,Property,Nominal,Actual,Tol -,Tol +,Dev,Check,Out
 Surface comparison 1 - 1 miesiac LowerJawScan.1,dXYZ,,,,,-0.14,,
 Surface comparison 1 - 1 miesiac LowerJawScan.2,dXYZ,,,,,-0.22,,
 Surface comparison 1 - 1 miesiac LowerJawScan.3,dXYZ,,,,,-0.14,,
 Surface comparison 1 - 1 miesiac LowerJawScan.4,dXYZ,,,,,-0.21,,
 Surface comparison 1 - 1 miesiac LowerJawScan.5,dXYZ,,,,,-0.25,,
 Surface comparison 1 - 1 miesiac LowerJawScan.6,dXYZ,,,,,-0.15,,
 Surface comparison 1 - 1 miesiac LowerJawScan.7,dXYZ,,,,,-0.10,,
 Surface comparison 1 - 1 miesiac LowerJawScan.8,dXYZ,,,,,-0.12,,
 Surface comparison 1 - 1 miesiac LowerJawScan.9,dXYZ,,,,,-0.07,,
 Surface comparison 1 - 1 miesiac LowerJawScan.10,dXYZ,,,,,0.00,,
 Surface comparison 1 - 1 miesiac LowerJawScan.11,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.12,dXYZ,,,,,-0.07,,
 Surface comparison 1 - 1 miesiac LowerJawScan.13,dXYZ,,,,,-0.11,,
 Surface comparison 1 - 1 miesiac LowerJawScan.14,dXYZ,,,,,-0.08,,
 Surface comparison 1 - 1 miesiac LowerJawScan.15,dXYZ,,,,,-0.12,,
 Surface comparison 1 - 1 miesiac LowerJawScan.16,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.17,dXYZ,,,,,0.06,,
 Surface comparison 1 - 1 miesiac LowerJawScan.18,dXYZ,,,,,0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.19,dXYZ,,,,,-0.16,,
 Surface comparison 1 - 1 miesiac LowerJawScan.20,dXYZ,,,,,-0.15,,
 Surface comparison 1 - 1 miesiac LowerJawScan.21,dXYZ,,,,,-0.14,,
 Surface comparison 1 - 1 miesiac LowerJawScan.22,dXYZ,,,,,-0.16,,
 Surface comparison 1 - 1 miesiac LowerJawScan.23,dXYZ,,,,,-0.22,,
 Surface comparison 1 - 1 miesiac LowerJawScan.24,dXYZ,,,,,-0.19,,
 Surface comparison 1 - 1 miesiac LowerJawScan.25,dXYZ,,,,,-0.06,,
 Surface comparison 1 - 1 miesiac LowerJawScan.26,dXYZ,,,,,-0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.27,dXYZ,,,,,0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.28,dXYZ,,,,,0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.29,dXYZ,,,,,-0.00,,
 Surface comparison 1 - 1 miesiac LowerJawScan.30,dXYZ,,,,,0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.31,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.32,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.33,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.34,dXYZ,,,,,0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.35,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.36,dXYZ,,,,,0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.37,dXYZ,,,,,0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.38,dXYZ,,,,,0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.39,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.40,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.41,dXYZ,,,,,0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.42,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.43,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.44,dXYZ,,,,,0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.45,dXYZ,,,,,0.06,,
 Surface comparison 1 - 1 miesiac LowerJawScan.46,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.47,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.48,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.49,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.50,dXYZ,,,,,0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.51,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.52,dXYZ,,,,,0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.53,dXYZ,,,,,0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.54,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.55,dXYZ,,,,,0.17,,
 Surface comparison 1 - 1 miesiac LowerJawScan.56,dXYZ,,,,,0.15,,
 Surface comparison 1 - 1 miesiac LowerJawScan.57,dXYZ,,,,,0.15,,
 Surface comparison 1 - 1 miesiac LowerJawScan.58,dXYZ,,,,,0.15,,
 Surface comparison 1 - 1 miesiac LowerJawScan.59,dXYZ,,,,,0.15,,
 Surface comparison 1 - 1 miesiac LowerJawScan.60,dXYZ,,,,,0.14,,
 Surface comparison 1 - 1 miesiac LowerJawScan.61,dXYZ,,,,,0.17,,
 Surface comparison 1 - 1 miesiac LowerJawScan.62,dXYZ,,,,,0.14,,
 Surface comparison 1 - 1 miesiac LowerJawScan.63,dXYZ,,,,,0.16,,
 Surface comparison 1 - 1 miesiac LowerJawScan.64,dXYZ,,,,,0.09,,
 Surface comparison 1 - 1 miesiac LowerJawScan.65,dXYZ,,,,,0.07,,
 Surface comparison 1 - 1 miesiac LowerJawScan.66,dXYZ,,,,,0.09,,
 Surface comparison 1 - 1 miesiac LowerJawScan.67,dXYZ,,,,,0.08,,
 Surface comparison 1 - 1 miesiac LowerJawScan.68,dXYZ,,,,,0.10,,
 Surface comparison 1 - 1 miesiac LowerJawScan.69,dXYZ,,,,,0.09,,
 Surface comparison 1 - 1 miesiac LowerJawScan.70,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.71,dXYZ,,,,,0.06,,
 Surface comparison 1 - 1 miesiac LowerJawScan.72,dXYZ,,,,,0.09,,
 Surface comparison 1 - 1 miesiac LowerJawScan.73,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.74,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.75,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.76,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.77,dXYZ,,,,,0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.78,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.79,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.80,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.81,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.82,dXYZ,,,,,-0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.83,dXYZ,,,,,-0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.84,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.85,dXYZ,,,,,0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.86,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.87,dXYZ,,,,,0.03,,
 Surface comparison 1 - 1 miesiac LowerJawScan.88,dXYZ,,,,,-0.18,,
 Surface comparison 1 - 1 miesiac LowerJawScan.89,dXYZ,,,,,-0.10,,
 Surface comparison 1 - 1 miesiac LowerJawScan.90,dXYZ,,,,,-0.06,,
 Surface comparison 1 - 1 miesiac LowerJawScan.91,dXYZ,,,,,0.07,,
 Surface comparison 1 - 1 miesiac LowerJawScan.92,dXYZ,,,,,0.10,,
 Surface comparison 1 - 1 miesiac LowerJawScan.93,dXYZ,,,,,0.09,,
 Surface comparison 1 - 1 miesiac LowerJawScan.94,dXYZ,,,,,0.13,,
 Surface comparison 1 - 1 miesiac LowerJawScan.95,dXYZ,,,,,0.16,,
 Surface comparison 1 - 1 miesiac LowerJawScan.96,dXYZ,,,,,0.13,,
 Surface comparison 1 - 1 miesiac LowerJawScan.97,dXYZ,,,,,-0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.98,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.99,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.100,dXYZ,,,,,-0.20,,
 Surface comparison 1 - 1 miesiac LowerJawScan.101,dXYZ,,,,,-0.19,,
 Surface comparison 1 - 1 miesiac LowerJawScan.102,dXYZ,,,,,-0.09,,
 Surface comparison 1 - 1 miesiac LowerJawScan.103,dXYZ,,,,,-0.11,,
 Surface comparison 1 - 1 miesiac LowerJawScan.104,dXYZ,,,,,-0.08,,
 Surface comparison 1 - 1 miesiac LowerJawScan.105,dXYZ,,,,,-0.08,,
 Surface comparison 1 - 1 miesiac LowerJawScan.106,dXYZ,,,,,-0.19,,
 Surface comparison 1 - 1 miesiac LowerJawScan.107,dXYZ,,,,,-0.20,,
 Surface comparison 1 - 1 miesiac LowerJawScan.108,dXYZ,,,,,-0.18,,
 Surface comparison 1 - 1 miesiac LowerJawScan.109,dXYZ,,,,,-0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.110,dXYZ,,,,,0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.111,dXYZ,,,,,-0.01,,
 Surface comparison 1 - 1 miesiac LowerJawScan.112,dXYZ,,,,,0.04,,
 Surface comparison 1 - 1 miesiac LowerJawScan.113,dXYZ,,,,,0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.114,dXYZ,,,,,0.05,,
 Surface comparison 1 - 1 miesiac LowerJawScan.115,dXYZ,,,,,-0.07,,
 Surface comparison 1 - 1 miesiac LowerJawScan.116,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.117,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.118,dXYZ,,,,,-0.17,,
 Surface comparison 1 - 1 miesiac LowerJawScan.119,dXYZ,,,,,-0.20,,
 Surface comparison 1 - 1 miesiac LowerJawScan.120,dXYZ,,,,,-0.18,,
 Surface comparison 1 - 1 miesiac LowerJawScan.121,dXYZ,,,,,0.07,,
 Surface comparison 1 - 1 miesiac LowerJawScan.122,dXYZ,,,,,0.00,,
 Surface comparison 1 - 1 miesiac LowerJawScan.123,dXYZ,,,,,-0.02,,
 Surface comparison 1 - 1 miesiac LowerJawScan.124,dXYZ,,,,,-0.16,,
 Surface comparison 1 - 1 miesiac LowerJawScan.125,dXYZ,,,,,-0.20,,
 Surface comparison 1 - 1 miesiac LowerJawScan.126,dXYZ,,,,,-0.15,,
